,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,faithfulness,faithfulness,faithfulness,faithfulness,faithfulness,faithfulness
,afd,cdu,fdp,gruene,linke,spd,afd,cdu,fdp,gruene,linke,spd
"Sind die Parteien dafür, weiterhin Energie aus Kohle und Atomkraft zu nutzen?",0.87841252789626,0.0,0.8396732729671359,0.9000712283830747,0.8295455370141346,0.9298002775963012,0.6666666666666666,,0.5,1.0,,
Sollen Männer mit Männern und Frauen mit Frauen heiraten dürfen? ,0.0,0.8549705196903217,0.8535022585157169,0.7681451036673038,0.8663344167372893,0.8579206191401821,,,0.0,0.5,0.6666666666666666,1.0
"Sollen mehr Länder in die EU kommen, wie zum Beispiel Länder aus dem Balkan oder die Türkei? Was denken die deutschen Parteien?",0.8689322799358054,0.8868312152577188,0.8578117193908965,0.870518196683402,0.0,0.8419044319192616,0.0,1.0,0.0,0.0,,1.0
Sollen wir in Europa mehr für den Schutz unserer Umwelt tun?,0.0,0.7921295197097136,0.8463129207496017,0.8556131208231275,0.7957171498865431,0.8691621215580713,,1.0,0.8,0.6,0.0,0.0
"Was denken die Parteien darüber, mehr Geld für die Armee auszugeben, um Europa sicher zu halten?",0.8015871485966487,0.8714947634266382,0.8643315598824022,0.8444142368652056,0.848321586606762,0.8944783344830104,0.0,1.0,1.0,,1.0,0.5
"Was denken die Parteien darüber, wenn Geflüchtete Gesetze brechen und Deutschland verlassen sollen?",0.8743814679649847,0.820558556853633,0.8333668821609145,0.8864072225141538,0.8697348112606705,0.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666
"Was denken die Parteien darüber, wie Europa mit China Geschäfte macht und dabei darauf achtet, dass niemand unfair behandelt wird?",0.8739262012722283,0.8327090996324401,0.884321869744286,0.8849364601281788,0.8203846030127876,0.8708555782551813,0.0,1.0,1.0,1.0,1.0,0.0
"Was denken die Parteien darüber, wie Europa mit anderen Ländern Handel treibt, und dass es dabei gerecht und gut für die Umwelt sein soll?",0.8825015842333733,0.8207661763249258,0.8374362101152822,0.8770922061633959,0.8215352878245238,0.8752808329525358,0.5,0.0,0.0,0.0,1.0,1.0
"Was haben die Parteien für Ideen, um jungen Menschen zu helfen, die keine Arbeit haben?",0.8298713744849014,0.8134322455217159,0.8407698892753537,0.8457972743811197,0.8262922611773386,0.827228164731214,0.0,1.0,1.0,0.0,1.0,0.0
"Was ist die Meinung der Parteien dazu, wie Menschen, die aus anderen Ländern fliehen, in Europa verteilt werden sollen?",0.8792911144829869,0.8616764263882324,0.8865243455529833,0.833685567882922,0.8262970379815108,0.8353982564399937,1.0,0.2,1.0,0.6666666666666666,1.0,0.5
"Was meinen die Parteien, wie viel die Regeln aus Europa Deutschland beeinflussen dürfen?",0.8459253087795545,0.8594140490300598,0.8512881136779501,0.8457937876300602,0.8422209918267366,0.8432590166561361,0.8,1.0,0.6,0.5,,0.75
"Was sagen die Parteien zu Kameras und Technik, die dabei helfen, Verbrechen zu stoppen, ohne dass unsere Privatsphäre gestört wird?",0.8266636849025399,0.0,0.8499309621340383,0.8458278559885876,0.0,0.8338895114104928,1.0,,,1.0,,1.0
"Was sagen die Parteien, wie wir Transgender-Menschen helfen und dafür sorgen können, dass alle fair behandelt werden?",0.8292549309746579,0.8399467614578047,0.8285792817930426,0.7837459212979363,0.8098507090892143,0.8111184942083184,,1.0,0.6666666666666666,1.0,1.0,1.0
"Was sind die Ideen der Parteien, um Europa in Dingen wie Computern und neuen Erfindungen besser zu machen?",0.8656749424647456,0.849869162685903,0.8599396117645401,0.8652811825009762,0.8328067212012304,0.8564962811321317,0.0,1.0,0.8333333333333334,1.0,,1.0
"Was wollen die Parteien tun, damit es Tieren auf den Bauernhöfen und bei der Herstellung von Essen besser geht?",0.8604121575011362,0.9160022547264552,0.8619934509416111,0.8639676856087241,0.0,0.8621891047269128,0.0,0.0,0.6,0.0,,0.0
"Was wollen die Parteien tun, um die christliche Religion in Europa zu unterstützen?",0.834171528061428,0.8870547835771293,0.0,0.8581322390149619,0.0,0.8321712313559315,0.0,,1.0,1.0,,0.5
"Welche Ideen haben die Parteien, damit alle sich sicher fühlen können?",0.8542134083404772,0.8616590713951483,0.8581762813331509,0.8591333160545047,0.0,0.8641046855919794,1.0,0.0,0.0,1.0,,1.0
"Wie denken die Parteien darüber, dass Europa zusammenarbeitet, um weniger dreckige Energie zu nutzen und mehr saubere Energie?",0.8223668818050869,0.8219914461295447,0.0,0.8330797245637135,0.8647431040786259,0.8612246974462461,1.0,1.0,,0.75,0.5,1.0
"Wie finden die Parteien, dass wir Fische fangen sollten, damit das Meer und die Tiere geschützt werden?",0.8849428093494242,0.8454426126204919,0.0,0.9099581704778622,0.8973394818022712,0.8763430857961304,1.0,0.6666666666666666,,1.0,1.0,0.3333333333333333
"Wie möchten die Parteien Verbrechen stoppen, ohne dass sich Menschen unfair behandelt fühlen?",0.8452589553886822,0.8389350700050007,0.8317927782116902,0.8430937809232347,0.8463348252115006,0.8463105340101715,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0
"Wie möchten die Parteien sicherstellen, dass Europas Armee stark ist und wir trotzdem gut mit anderen Ländern wie den USA zusammenarbeiten?",0.8505161093972283,0.838077925456254,0.8821227234832767,0.8694050440396573,0.8536575844265757,0.8998469167752785,0.8571428571428571,1.0,1.0,1.0,0.5,1.0
