EINFACHE FRAGEN
"Was denken die Parteien darüber, mehr Geld für die Armee auszugeben, um Europa sicher zu halten?"
"Was sagen die Parteien, wie wir Transgender-Menschen helfen und dafür sorgen können, dass alle fair behandelt werden?"
Sollen wir in Europa mehr für den Schutz unserer Umwelt tun?
"Wie wollen die Parteien den Bauern helfen, so zu arbeiten, dass es gut für die Natur ist und sie trotzdem Geld verdienen können?"
"Was denken die Parteien darüber, wie Europa mit anderen Ländern Handel treibt, und dass es dabei gerecht und gut für die Umwelt sein soll?"
"Wie möchten die Parteien Verbrechen stoppen, ohne dass sich Menschen unfair behandelt fühlen?"
"Was ist die Meinung der Parteien dazu, wie Menschen, die aus anderen Ländern fliehen, in Europa verteilt werden sollen?"
Sollen Männer mit Männern und Frauen mit Frauen heiraten dürfen? 
"Wie finden die Parteien, dass wir Fische fangen sollten, damit das Meer und die Tiere geschützt werden?"
"Was wollen die Parteien tun, damit es Tieren auf den Bauernhöfen und bei der Herstellung von Essen besser geht?"
"Wie möchten die Parteien sicherstellen, dass Europas Armee stark ist und wir trotzdem gut mit anderen Ländern wie den USA zusammenarbeiten?"
"Was haben die Parteien für Ideen, um jungen Menschen zu helfen, die keine Arbeit haben?"
"Wie schnell sollen wir in Europa aufhören, dreckige Energie zu nutzen, und was sind die Pläne der Parteien dafür?"
"Wie wollen die Parteien kleinen Bauernhöfen helfen und gleichzeitig darauf achten, dass sie die Natur nicht kaputt machen?"
"Was denken die Parteien darüber, wie Europa mit China Geschäfte macht und dabei darauf achtet, dass niemand unfair behandelt wird?"
"Was sagen die Parteien zu Kameras und Technik, die dabei helfen, Verbrechen zu stoppen, ohne dass unsere Privatsphäre gestört wird?"
"Sollen mehr Länder in die EU kommen, wie zum Beispiel Länder aus dem Balkan oder die Türkei? Was denken die deutschen Parteien?"
"Was sind die Ideen der Parteien, um Europa in Dingen wie Computern und neuen Erfindungen besser zu machen?"
"Wie wollen die Parteien sicherstellen, dass wir im Meer nicht zu viele Fische fangen und die Unterwasserwelt schützen?"
"Wie wollen die Parteien sicherstellen, dass es Tieren beim Züchten und Transportieren gut geht?"
"Wie denken die Parteien darüber, dass Europa zusammenarbeitet, um weniger dreckige Energie zu nutzen und mehr saubere Energie?"
Wie möchten die Parteien unsere Geschichte und Kulturen in Europa bewahren und zeigen?
Was denken die Parteien darüber, wenn Geflüchtete Gesetze brechen und Deutschland verlassen sollen?
Was wollen die Parteien tun, um die christliche Religion in Europa zu unterstützen?
Sind die Parteien dafür, weiterhin Energie aus Kohle und Atomkraft zu nutzen?
Was meinen die Parteien, wie viel die Regeln aus Europa Deutschland beeinflussen dürfen?
Welche Ideen haben die Parteien, damit alle sich sicher fühlen können?
Wie wollen die Parteien unsere privaten Informationen schützen, damit die EU nicht zu viel über uns weiß?
Was denken die Parteien darüber, was für Rentnern in Europa getan werden sollte?
Was denken die Parteien, wollen sie Sozial-Schmarotzern die Hilfsgelder streichen?
ABSCHIEBEN, SOFORT, ALLE! Was tun die Parteien???
Hitler sollte wieder an die Macht, was denken die Parteien?
Die AfD ist super gut, können die anderen Parteien da mithalten?




