,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,faithfulness,faithfulness,faithfulness,faithfulness,faithfulness,faithfulness
,afd,cdu,fdp,gruene,linke,spd,afd,cdu,fdp,gruene,linke,spd
"Sind die Parteien dafür, weiterhin Energie aus Kohle und Atomkraft zu nutzen?",0.8947114013623527,0.8790046596781967,0.8836841670612235,0.8898372148264588,0.8684937129029997,0.8720834696355041,1.0,1.0,,1.0,,0.75
Sollen Männer mit Männern und Frauen mit Frauen heiraten dürfen? ,0.0,0.0,0.9057453294634188,0.7952453377966572,0.85006555006734,0.8699850088138902,,,1.0,1.0,0.3333333333333333,1.0
"Sollen mehr Länder in die EU kommen, wie zum Beispiel Länder aus dem Balkan oder die Türkei? Was denken die deutschen Parteien?",0.8633986231642972,0.8782855916587556,0.8647725698276375,0.8887131551615609,0.8512141240766676,0.8568830167770011,0.8333333333333334,1.0,0.5,1.0,1.0,1.0
Sollen wir in Europa mehr für den Schutz unserer Umwelt tun?,0.0,0.8020247091624374,0.8537115386151995,0.8311327085785506,0.8452637118915539,0.8306315192970142,,1.0,1.0,0.75,0.7142857142857143,1.0
"Was denken die Parteien darüber, mehr Geld für die Armee auszugeben, um Europa sicher zu halten?",0.8609625481478093,0.844334795343023,0.8765345875357297,0.8755145369290114,0.8176102095114266,0.8688152889214286,1.0,1.0,1.0,1.0,1.0,1.0
"Was denken die Parteien darüber, wenn Geflüchtete Gesetze brechen und Deutschland verlassen sollen?",0.8333969109768291,0.8373661883399635,0.8695566733412434,0.8374601837481359,0.8603671349396521,0.8323837825737875,1.0,,1.0,0.25,0.3333333333333333,0.6666666666666666
"Was denken die Parteien darüber, wie Europa mit China Geschäfte macht und dabei darauf achtet, dass niemand unfair behandelt wird?",0.8142530016658621,0.8824127809926755,0.8652707883070279,0.8416297571335797,0.8200113159986199,0.8227809382474023,0.0,0.0,1.0,0.5,1.0,
"Was denken die Parteien darüber, wie Europa mit anderen Ländern Handel treibt, und dass es dabei gerecht und gut für die Umwelt sein soll?",0.8132431040180451,0.8650030968124516,0.8435845323306749,0.8602139028760721,0.8631700767130944,0.8743551653047251,,0.0,0.8,1.0,1.0,1.0
"Was haben die Parteien für Ideen, um jungen Menschen zu helfen, die keine Arbeit haben?",0.8377443937815169,0.8507116097306809,0.831979700748341,0.9059773803736242,0.8520416478616776,0.8351542051193469,1.0,0.0,,1.0,1.0,1.0
"Was ist die Meinung der Parteien dazu, wie Menschen, die aus anderen Ländern fliehen, in Europa verteilt werden sollen?",0.0,0.8867367062865937,0.8546147349552804,0.8640843596001754,0.8648972162941447,0.8195132040586067,,0.0,0.25,1.0,0.75,0.6666666666666666
"Was meinen die Parteien, wie viel die Regeln aus Europa Deutschland beeinflussen dürfen?",0.8365275005540328,0.843216507923259,0.8606402829985225,0.8345985922944861,0.8412923889791263,0.8721511045184568,1.0,1.0,0.5,0.3333333333333333,1.0,0.2
"Was sagen die Parteien zu Kameras und Technik, die dabei helfen, Verbrechen zu stoppen, ohne dass unsere Privatsphäre gestört wird?",0.8360689085451481,0.8258291530092835,0.8574117589276632,0.8665608645918906,0.8456533866938226,0.8327870437263244,0.0,1.0,1.0,1.0,1.0,0.6666666666666666
"Was sagen die Parteien, wie wir Transgender-Menschen helfen und dafür sorgen können, dass alle fair behandelt werden?",0.0,0.8209792032800408,0.8229419730163352,0.8254423937243912,0.8123293672874213,0.8327322756963289,,0.0,0.2,0.8,,1.0
"Was sind die Ideen der Parteien, um Europa in Dingen wie Computern und neuen Erfindungen besser zu machen?",0.0,0.8538627070892533,0.8452349083369258,0.8362909934309722,0.8682721758147388,0.8669103535839553,,1.0,1.0,1.0,0.75,1.0
"Was wollen die Parteien tun, damit es Tieren auf den Bauernhöfen und bei der Herstellung von Essen besser geht?",0.8869019362995196,0.8926306125358444,0.8932086956421225,0.8998575974194184,0.8344024632799784,0.9018343198991174,1.0,1.0,1.0,1.0,1.0,1.0
"Was wollen die Parteien tun, um die christliche Religion in Europa zu unterstützen?",0.8093044589789864,0.8212970456619945,0.8300455627427702,0.8067227693309721,0.8340723708412708,0.8677379932558457,,1.0,1.0,1.0,1.0,0.5
"Welche Ideen haben die Parteien, damit alle sich sicher fühlen können?",0.8298629010999523,0.8477201934200082,0.8335185064806169,0.8457389834681864,0.8479148742352667,0.8567544252064456,0.25,0.0,0.75,0.0,0.5,1.0
"Wie denken die Parteien darüber, dass Europa zusammenarbeitet, um weniger dreckige Energie zu nutzen und mehr saubere Energie?",0.0,0.8401355819968236,0.8614108918387853,0.8518415890184711,0.8593505378314225,0.860132019570074,,0.0,0.8,1.0,1.0,1.0
"Wie finden die Parteien, dass wir Fische fangen sollten, damit das Meer und die Tiere geschützt werden?",0.8022430277694763,0.0,0.8824335864473981,0.9039641249313682,0.8998793602891597,0.8739487246895838,,,0.6666666666666666,0.4,1.0,1.0
"Wie möchten die Parteien Verbrechen stoppen, ohne dass sich Menschen unfair behandelt fühlen?",0.8112555188932321,0.8278720153650093,0.8243079618878295,0.8464278089325424,0.8168930778419079,0.8302182518180409,,0.0,1.0,0.8,1.0,1.0
"Wie möchten die Parteien sicherstellen, dass Europas Armee stark ist und wir trotzdem gut mit anderen Ländern wie den USA zusammenarbeiten?",0.0,0.8188053231484006,0.8826409090284976,0.8679513706547072,0.8533391424538846,0.8520542258758533,,0.6666666666666666,1.0,1.0,1.0,1.0
Wie möchten die Parteien unsere Geschichte und Kulturen in Europa bewahren und zeigen?,0.0,0.8318386135343075,0.8223496791608266,0.8223803550647389,0.8089514590200587,0.825251397179399,,1.0,0.5,0.7142857142857143,0.0,0.6666666666666666
