,context_relevancy,context_relevancy,context_relevancy,context_relevancy,context_relevancy,context_relevancy
,afd,cdu,fdp,gruene,linke,spd
Soll Atomkraft weiterhin genutzt werden? ,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,,0.6666666666666666
Sollen Geflüchtete ausgewiesen werden wenn sie sich strafbar machen?,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333
Sollen die Militärausgaben erhöht werden?,0.6666666666666666,,,0.6666666666666666,,0.0
Sollen wir in Europa mehr für den Natur- und Artenschutz tun?,0.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666
Sollte es ein Selbstbestimmungsrecht für Trans-Personen geben?,0.0,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
Sollten mehr Länder der EU beitreten?,0.6666666666666666,0.6666666666666666,0.3333333333333333,,0.6666666666666666,0.6666666666666666
Was denken die Parteien darüber was für Rentnern in Europa getan werden sollte?,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
Was wollen die Parteien tun um christliche Werte in Europa zu unterstützen?,0.6666666666666666,,0.0,0.3333333333333333,0.6666666666666666,0.0
Was wollen die Parteien tun um das Tierwohl in der Viehhaltung zu verbessern? ,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666
Wie kann Europa weniger dreckige Energie nutzen und mehr saubere Energie?,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0
Wie können wir Jungendarbeitslosigkeit reduzieren? ,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666
Wie möchten die Parteien unsere Geschichte und Kulturen in Europa bewahren und zeigen?,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
Wie sehen die Pläne zum Erreichen der Klimaneutralität aus?,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Wie soll Europa Handel mit anderen Ländern treiben? (z.B. Handelsabkommen),0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Wie soll das Verhältnis zu China aussehen im Bezug auf Protektionismus?,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666
Wie soll die Landwirtschaft unterstützt werden? ,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0
Wie soll die Privatsspähre geschützt werden? ,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Wie sollen Flüchtlinge in Europa verteilt werden? ,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666
Wie sollen Kameras und Technik dabei helfen Verbrechen zu stoppen ohne dass unsere Privatsphäre gestört wird?,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
Wie sollen europäische high-tech Innovationen gefördert werden?,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,1.0
Wie sollte die Zusammenarbeit mit den USA aussehen?,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333
Wie sollten wir Fischfang betreiben damit das Meer und die Tiere geschützt werden?,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333
Wie stehen die Parteien zur gleichgeschlechtlichen Ehe?,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0
Wie viel Einfluss soll Europa auf unser Leben in Deutschland haben?,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0
