key;de;en
subheadline;Informiere dich über die Positionen der Parteien zur Bundestagswahl 2025.;Find out about the parties' positions on the 2025 federal election in Germany.
query-instruction;Stelle eine Frage oder gib ein Stichwort ein;Ask a question or enter a keyword
submit-query;Frage stellen;Ask question
show-party-names;Parteinamen anzeigen;Show party names
show-party-names-help;Blende die Parteinamen aus, um Antworten unvoreingenommen lesen zu können.;You can hide the names of the parties if you want to read the answers without bias first.
select-parties-heading;Parteien auswählen;Select parties
select-parties-instruction;Wähle bis zu 6 Parteien aus.;Select up to 6 parties.
error-min-1-party;Bitte wähle mindestens eine Partei aus.;Please select at least one party.
error-max-6-parties;Bitte wähle maximal sechs Parteien aus.;Please select a maximum of six parties.
examples-heading;Beispiele:;Examples:
disclaimer-llm;**Die Antworten werden von einem Sprachmodell generiert und können fehlerhaft sein.**;**The answers are generated by a language model and may be incorrect.**
disclaimer-research;Bitte informiere dich zusätzlich in den verlinkten Wahlprogrammen.;Please also inform yourself in the linked party manifestos.
disclaimer-random-order;Die Reihenfolge der angezeigten Parteien ist zufällig.;The parties are displayed in random order.
loading-response;Suche nach Antworten in Wahlprogrammen...;Searching for answers in the party manifestos...
show-party;Partei aufdecken;Reveal party
party;Partei;Party
learn-more-in;Mehr findest du im;Learn more in the
party-manifesto;Bundestagswahlprogramm der Partei;manifesto of the party
page-reference;z.B. Seite;e.g., page
sources-subheading;Quellen: Worauf basieren diese Antworten?;Sources: What are the answers based on?
sources-intro;Die Antworten wurden von dem KI-Sprachmodell GPT 3.5 generiert – unter Berücksichtigung der Wahlprogramme zur Bundestagswahl 2025.;The answers were generated by the AI language model GPT 3.5 - taking into account the election programmes for the 2025 federal elections.
sources-excerpts-intro;Hier kannst du die genutzten Ausschnitte aus den Quellen einsehen:;Here you can view the extracts used from the sources (only available in German):
sources;Quellen;Sources
support-button;Unterstützen;Support us
support-banner;**Gefällt dir die App?** Mit einer kleinen Spende kannst du dafür sorgen, dass wir sie bis zur Wahl weiterhin kostenlos anbieten können. [Jetzt unterstützen];**Enjoying the app?** A small tip helps us offer it for free until the elections. [Support now]
error-api-unavailable;"Das Sprachmodell ist gerade nicht verfügbar. **Bitte versuche es gleich nochmal.**";"The language model is currently unavailable. **Please try again in a moment.**"
feedback-heading;Feedback;Feedback
feedback-intro;Hilf uns mit deinem Feedback, Electify zu verbessern!;Help us improve Electify with your feedback!
feedback-question-rating;Wie bewertest du die Antwort auf deine Frage?;How do you rate the answer to your question?
feedback-question-text;Erkläre gerne kurz deine Bewertung (optional).;Feel free to briefly explain your rating (optional).
feedback-submit;Abschicken;Submit
feedback-thanks;Vielen Dank für dein Feedback!;Thank you for your feedback!
